Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J3,Conn_02x14_Odd_Even,PinHeader_2x14_P2.54mm_Vertical,187.52,-96.725,90.0,bottom
JP1,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,152.7,-88.55,0.0,top
JP2,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,195.65,-89.5,0.0,top
JP3,Jumper_2_Open,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,221.0,-89.5,90.0,top
Q1,MMBT2222A_C8512,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,187.55,-84.5,-90.0,top
Q2,MMBT2222A_C8512,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,210.5,-88.5,0.0,top
Q4,MMBT2222A_C8512,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,163.7,-88.55,0.0,top
R1,0805W8F1004T5E,R0805,216.0,-94.0,90.0,top
R2,0805W8F1004T5E,R0805,180.0,-84.5,180.0,top
R3,0805W8F1004T5E,R0805,159.2,-94.05,90.0,top
R4,6.8k,R0805,152.7,-94.05,0.0,top
R5,6.8k,R0805,187.0,-89.5,180.0,top
R6,6.8k,R0805,195.5,-85.0,0.0,top
R7,6.8k,R0805,221.0,-94.0,90.0,top
R8,6.8k,R0805,216.0,-89.5,-90.0,top
R13,6.8k,R0805,159.2,-88.55,90.0,top
U1,SFH 4544,LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm,164.0,-76.0,-90.0,top
U2,SFH 4544,LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm,188.0,-73.5,180.0,top
U3,SFH 4544,LED_D5.0mm_Horizontal_O6.35mm_Z15.0mm,211.3,-76.0,90.0,top
U4,BPW41N,SENSOR-TH_BPW41N,167.3325,-76.2375,-90.0,top
U5,BPW41N,SENSOR-TH_BPW41N,188.2625,-76.8325,180.0,top
U6,BPW41N,SENSOR-TH_BPW41N,207.9675,-76.0325,90.0,top
U7,LMV321IDBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,210.7,-93.5,0.0,top
U8,LMV321IDBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,180.23,-89.7,-90.0,top
U9,LMV321IDBVR,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,164.085,-94.665,90.0,top
